Taxon;nb_specimens_TM90;nb_specimens_TM242;nb_specimens_TM252;nb_specimens_TM266;nb_specimens_TM337;MNI_TM90;MNI_TM242;MNI_TM252;MNI_TM266;MNI_TM337
Alestinae;113;22;1822;48;308;8;4;116;15;14
Bagridae;12;4;4;11;27;12;2;4;1;9
Cichlidae;5;0;8;0;8;2;0;5;0;5
Clariidae;58;0;1;6;7;40;0;1;6;5
Claroteidae;11;12;5;35;23;11;6;4;34;8
Crocodylus;7;1;26;5;61;6;1;2;7;5
Cyprinidae;1;0;0;19;2;1;0;0;4;2
Euthecodon;1;0;0;10;0;1;0;0;10;0
Gavialoidea;3;0;0;7;0;3;0;0;3;0
Gymnarchus;64;3;51;78;67;6;2;6;3;7
Heterotis;0;1;0;1;1;0;1;0;0;1
Hexaprotodon;24;61;3;62;9;2;2;1;4;2
Hydrocynus;43;3;105;311;55;7;3;8;21;6
Lates;5;8;64;136;155;6;4;16;24;21
Libycosaurus;75;54;5;151;34;6;3;2;19;2
Mochokidae;9;0;0;3;0;9;0;0;1;0
Mormyridae;0;0;1;0;1;0;0;1;0;1
Polypterus;215;0;37;44;70;14;0;6;2;5
Semlikiichthys;17;3;34;7;46;8;3;16;5;13
Synodontis;13;4;2;19;60;5;5;1;2;29
Tetraodontidae;9;0;10;112;44;6;0;10;34;14
Trionychidae;9;1;0;6;0;9;1;0;6;0
